sexo;idade;formacao;curso;anoFormacao;tempoProfissional;tempoFuncao;funcao;metodologia;existenciaProjeto;mesesNoProjeto;@12.Emrelaçãoassuascaracterísticasporfavorresponda;S1;S2;S3;C2;C3;C4;C1;EM4;EM1;EM3;EM2;T3;T1;T4;T2;I2;I1;I4;I3;Desvio
Feminino;27;Especialização;Engenharia da Computação;2021;2;3;Testador;Ágil;1;6; ;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;6;6;6;6;0,229415734
Feminino;23;Superior incompleto;Ciência da computação;2021;1;1;Desenvolvedor;Ágil;30;11; ;7;7;7;7;7;7;7;7;7;7;6;7;7;7;7;7;7;7;7;0,229415734
Masculino;29;Superior incompleto;Sistemas WEB;2020;11;4;Desenvolvedor;Ágil;0;0; ;6;6;6;6;6;6;6;6;6;6;6;6;6;7;6;6;6;6;6;0,229415734
Masculino;30;Especialização;Ciência da computação;2014;5;5;Gerente;Híbrida;12;12; ;6;7;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0,315301768
Masculino;34;Doutorado;Ciência da computação;2023;9;2;Gerente;Híbrida;2;2; ;7;7;7;7;6;7;6;7;7;7;7;7;7;7;7;7;7;7;7;0,315301768
Masculino;25;Superior incompleto;Sistemas de Informação;2020;4;4;Desenvolvedor;Ágil;5;5; ;7;7;7;7;6;7;7;7;7;7;7;6;7;7;7;7;7;7;7;0,315301768
Masculino;31;Superior completo;Sistemas de Informação;2013;5;5;Testador;Ágil;16;2; ;7;7;7;7;7;7;7;7;6;6;7;7;7;6;7;7;7;7;7;0,374634325
Masculino;31;Superior incompleto;Sistemas de Informação;2020;6;6;Analista;Tradicional;6;6; ;6;6;6;6;6;6;6;6;7;7;6;6;6;7;6;7;6;6;6;0,418853908
Masculino;28;Superior incompleto;Ciência da computação;2021;7;7;Desenvolvedor;Híbrida;50;8; ;6;6;6;6;5;5;6;6;6;6;5;6;6;6;5;6;6;6;6;0,418853908
Masculino;24;Superior incompleto;Ciência da computação;2020;4;2;Desenvolvedor;Ágil;11;11; ;7;6;7;7;7;7;7;7;6;6;7;7;7;7;7;7;6;7;7;0,418853908
Masculino;25;Superior incompleto;Ciência da computação;2021;2;1;Desenvolvedor;Híbrida;2;2; ;7;7;6;7;7;7;6;6;7;7;6;7;7;7;7;7;7;7;7;0,418853908
Feminino;36;Doutorado;Ciência da computação;2020;13;13;Analista;Híbrida;120;110; ;7;7;7;6;6;7;7;7;7;7;7;6;7;7;7;7;7;6;6;0,452413928
Masculino;37;Doutorado;Engenharia de Software;2017;11;3;DBA;Ágil;7;7; ;7;6;7;7;7;6;7;6;7;7;7;7;7;6;7;7;7;7;6;0,452413928
Masculino;30;Mestrado;Ciência da computação;2016;5;2;Desenvolvedor;Ágil;200;7; ;5;5;6;6;6;6;6;6;6;5;6;6;6;6;6;5;6;6;5;0,452413928
Masculino;48;Superior completo;Ciência da computação;1996;28;28;Desenvolvedor;Ágil;30;24; ;7;7;7;7;7;7;7;7;5;7;7;7;7;7;7;7;7;7;7;0,458831468
Masculino;36;Mestrado;Ciência da computação;2009;15;13;Gerente;Ágil;21;21; ;6;6;6;6;6;6;6;7;6;6;5;5;6;6;5;6;6;6;6;0,458831468
Masculino;29;Especialização;Análise e desenvolvimento de sistemas;2018;6;6;Desenvolvedor;Ágil;12;3; ;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;5;0,458831468
