"","�..sexo","idade","formacao","curso","anoFormacao","tempoProfissional","tempoFuncao","funcao","metodologia","existenciaProjeto","mesesNoProjeto","X.12.Emrela�.�.oassuascaracter�.sticasporfavorresponda","S1","S2","S3","C2","C3","C4","C1","EM4","EM1","EM3","EM2","T3","T1","T4","T2","I2","I1","I4","I3","X.13.Pararesponderasquestõesabaixoconsidereseuprojetoatua","equipe1","reque1","reque2","reque3","tec1","req4","tec2","tec3","tec4","req5","equipe2","equipe3","req6","tec5","tec6","req7","equipe4","X.14.Emrela�.�.oaoseudiaadiadotrabalho","ci2","et6","ci3","et4","ee6","ee2","et5","ci1","ee4","ee1","et1","et2","et3","ee3","ci4","ee5","X.15.Emrela�.�.oasuasatisfa�.�.ocomotrabalho","sat1","sat2","sat3","sat4","FAC1_1","FAC2_1","FAC3_1","FAC4_1","FAC5_1","FAC1_2","FAC2_2","FAC3_2","FAC4_2","FAC5_2","satisfacao","stress_ad","criatividade_ad","treinamento_ad","interpessoal_ad","burnout_cinismo","burnout_exaustao","burnout_et","crise_ad","instabilidade","adapt","inst_req","inst_equipe","inst_tec","burnt_total"
"1","Feminino",31,"Especialização","Agronegócio",2017,"11","2","Gerente","Ágil",6,6,NA,7,7,7,6,5,4,7,7,7,6,6,7,7,5,7,7,6,7,6,NA,6,4,7,6,2,4,4,5,2,5,2,6,5,7,4,4,2,NA,1,7,1,7,2,1,7,1,1,1,7,7,7,2,1,2,NA,7,7,1,7,0.810430273939127,1.06468719570174,0.579975870121278,1.27611565858118,-0.497906033966248,0.810430273939127,1.06468719570174,0.579975870121278,1.27611565858118,-0.497906033966248,7,7,5,6.5,6.5,1,1.5,7,6.5,75,6.3,27,18,8,3.16666666666667
"2","Feminino",59,"Doutorado","Ciência da computação",2019,"20","15","Gerente","Híbrida",18,18,NA,6,5,7,6,5,6,7,6,7,7,6,7,5,7,7,7,7,6,7,NA,3,6,7,6,5,2,4,4,7,6,7,7,7,6,7,6,7,NA,6,6,1,6,2,2,6,1,1,1,7,7,7,1,1,1,NA,6,7,1,6,1.05350793630033,0.287146063501364,0.410611647774402,0.654607497667512,0.402062698964603,1.05350793630033,0.287146063501364,0.410611647774402,0.654607497667512,0.402062698964603,6.66666666666667,6,5.66666666666667,6.5,6.75,2.25,1.33333333333333,6.5,6.5,97,6.28333333333333,28,23,16,3.36111111111111
"3","Feminino",35,"Superior incompleto","Sistemas de Informação",2019,"1","1","Desenvolvedor","Tradicional",12,12,NA,6,7,3,6,6,2,7,3,6,7,5,7,5,5,7,7,6,7,5,NA,3,6,2,6,3,6,2,2,2,6,1,2,5,6,6,4,4,NA,1,6,5,5,2,2,6,2,2,2,7,6,5,2,1,1,NA,4,4,2,5,-0.337169968594514,0.283791702329178,0.249746073956802,-0.0320930163865685,-0.139861656454392,-0.337169968594514,0.283791702329178,0.249746073956802,-0.0320930163865685,-0.139861656454392,4.66666666666667,5.33333333333333,4.66666666666667,6,6.25,2.25,1.83333333333333,5.83333333333333,5.25,66,5.5,25,10,9,3.30555555555556
"4","Feminino",28,"Superior incompleto","Ciência da computação",2021,"10","1","Desenvolvedor","Ágil",6,1,NA,7,7,4,6,6,4,7,5,6,5,4,7,7,7,7,7,7,7,7,NA,3,4,2,3,6,3,4,4,2,2,2,3,3,2,4,2,4,NA,1,6,1,7,1,1,7,1,1,1,7,7,6,2,1,4,NA,7,7,1,6,-0.0416107727712555,1.35403487139457,1.23565275682798,0.243518400535377,-0.320035437278777,-0.0416107727712555,1.35403487139457,1.23565275682798,0.243518400535377,-0.320035437278777,7,6,5.33333333333333,7,7,1,1.66666666666667,6.66666666666667,5,53,6.06666666666667,13,10,14,3.11111111111111
"5","Feminino",39,"Doutorado","Ciência da computação",2021,"10","7","Analista","Ágil",1,1,NA,6,7,6,4,7,5,5,6,4,7,4,7,6,4,7,7,6,7,5,NA,6,7,6,6,4,5,4,5,5,7,4,4,6,5,7,7,4,NA,4,6,1,6,6,5,6,6,1,4,7,7,5,7,1,7,NA,7,7,1,5,-0.580617130734025,0.802333136845667,0.414941676932436,-0.286996789029815,0.559585218208144,-0.580617130734025,0.802333136845667,0.414941676932436,-0.286996789029815,0.559585218208144,7,6.33333333333333,5.33333333333333,6,6.25,3,5,6.16666666666667,5.25,92,5.83333333333333,30,21,12,4.72222222222222
"6","Feminino",24,"Superior incompleto","Sistemas Para Internet",2020,"2","2","Desenvolvedor","Tradicional",3,3,NA,2,6,3,1,6,4,3,6,4,3,3,6,7,3,4,7,6,6,5,NA,1,6,5,6,7,7,6,4,7,6,4,1,7,3,5,6,2,NA,1,4,2,6,6,2,3,6,2,5,7,4,7,5,4,3,NA,6,5,2,7,-2.31276674614442,-0.209632619764406,0.162218047654567,-2.71150630682264,-0.388579413338273,-2.31276674614442,-0.209632619764406,0.162218047654567,-2.71150630682264,-0.388579413338273,5.66666666666667,3.66666666666667,3.66666666666667,5,6,3.25,3.83333333333333,5.16666666666667,4,83,4.46666666666667,31,12,15,4.08333333333333
"7","Feminino",33,"Superior incompleto","Ciência da computação",2021,"3","1","Desenvolvedor","Ágil",132,7,NA,1,3,4,2,5,3,2,1,3,2,2,6,4,1,7,5,2,7,3,NA,2,2,7,7,7,7,1,7,6,6,4,6,7,2,5,6,3,NA,4,2,6,1,5,7,3,1,2,6,7,4,2,7,3,7,NA,1,2,2,6,-4.08438061686335,-0.78905162130724,-3.33108317809934,-2.99383207692015,0.0728396724093601,-4.08438061686335,-0.78905162130724,-3.33108317809934,-2.99383207692015,0.0728396724093601,3,2.66666666666667,3.33333333333333,4.5,4.25,3.5,5.66666666666667,3.16666666666667,2,85,3.35,34,18,11,4.11111111111111
"8","Feminino",29,"Superior completo","Sistemas de Informação",2015,"4","2","Analista","Ágil",2,2,NA,5,6,2,3,4,3,5,3,6,6,3,6,6,5,6,6,6,6,2,NA,3,4,4,3,5,4,4,3,3,3,3,3,3,5,4,3,5,NA,5,5,1,4,4,2,5,2,6,1,5,7,5,1,1,1,NA,6,5,6,1,-1.49874360749014,0.482306663314692,-1.32747055816154,-1.08448603961463,-1.36010879817876,-1.49874360749014,0.482306663314692,-1.32747055816154,-1.08448603961463,-1.36010879817876,4.33333333333333,4.33333333333333,3.33333333333333,5.75,5,2.25,2.5,5.16666666666667,4.5,62,4.58333333333333,17,12,14,3.30555555555556
"9","Feminino",40,"Mestrado","Ciência da computação",2006,"15","5","Gerente","Ágil",48,6,NA,3,4,4,3,5,5,6,6,5,6,4,5,6,5,4,7,6,5,3,NA,6,6,7,6,5,4,2,6,2,4,1,2,6,7,2,6,7,NA,1,6,1,7,1,1,6,1,1,1,7,7,7,2,1,1,NA,7,7,1,6,-1.20194144842838,-0.997924140317947,-1.27665950797591,-0.964955746768831,0.132667084208009,-1.20194144842838,-0.997924140317947,-1.27665950797591,-0.964955746768831,0.132667084208009,7,3.66666666666667,4.33333333333333,5,5.25,1,1.16666666666667,6.66666666666667,5.25,79,4.7,27,15,14,2.94444444444444
"10","Feminino",36,"Mestrado","Ciência da computação",2011,"17","14","Gerente","Ágil",10,8,NA,2,2,2,4,4,2,5,5,4,6,5,7,7,6,7,6,4,5,6,NA,7,6,6,3,2,6,1,4,4,7,4,3,4,5,7,5,7,NA,5,6,1,6,1,4,5,1,1,3,6,5,5,4,1,5,NA,7,6,1,6,-0.934122261024889,0.154077462792215,-2.12379555219235,-3.03307064726732,0.0915437622069718,-0.934122261024889,0.154077462792215,-2.12379555219235,-3.03307064726732,0.0915437622069718,6.66666666666667,2,3.33333333333333,6.75,5.25,2,3,5.5,5,81,4.46666666666667,26,19,10,3.5
