sexo;idade;formacao;curso;anoFormacao;tempoProfissional;tempoFuncao;funcao;metodologia;existenciaProjeto;mesesNoProjeto;@12.Emrelaçãoassuascaracterísticasporfavorresponda;S1;S2;S3;C2;C3;C4;C1;EM4;EM1;EM3;EM2;T3;T1;T4;T2;I2;I1;I4;I3;@13.Pararesponderasquestõesabaixoconsidereseuprojetoatua;equipe1;reque1;reque2;reque3;tec1;req4;tec2;tec3;tec4;req5;equipe2;equipe3;req6;tec5;tec6;req7;equipe4;@14.Emrelaçãoaoseudiaadiadotrabalho;ci2;et6;ci3;et4;ee6;ee2;et5;ci1;ee4;ee1;et1;et2;et3;ee3;ci4;ee5;@15.Emrelaçãoasuasatisfaçãocomotrabalho;sat1;sat2;sat3;sat4;FAC1_1;FAC2_1;FAC3_1;FAC4_1;FAC5_1;FAC1_2;FAC2_2;FAC3_2;FAC4_2;FAC5_2;satisfacao;stress_ad;criatividade_ad;treinamento_ad;interpessoal_ad;burnout_cinismo;burnout_exaustao;burnout_et;crise_ad;instabilidade;adapt;inst_req;inst_equipe;inst_tec;burnt_total;et1i;et2i;et4i;et6i;et5i;et3i
Feminino;31;Especialização;Agronegócio;2017;11;2;Gerente;Ágil;6;6; ;7;7;7;6;5;4;7;7;7;6;6;7;7;5;7;7;6;7;6; ;6;4;7;6;2;4;4;5;2;5;2;6;5;7;4;4;2; ;1;7;1;7;2;1;7;1;1;1;7;7;7;2;1;2; ;7;7;1;7;0,810430274;1,064687196;0,57997587;1,276115659;-0,497906034;0,810430274;1,064687196;0,57997587;1,276115659;-0,497906034;7;7;5;6,5;6,5;1;1,5;7;6,5;75;6,3;27;18;8;3,166666667;1;1;1;1;1;1
Feminino;59;Doutorado;Ciência da computação;2019;20;15;Gerente;Híbrida;18;18; ;6;5;7;6;5;6;7;6;7;7;6;7;5;7;7;7;7;6;7; ;3;6;7;6;5;2;4;4;7;6;7;7;7;6;7;6;7; ;6;6;1;6;2;2;6;1;1;1;7;7;7;1;1;1; ;6;7;1;6;1,053507936;0,287146064;0,410611648;0,654607498;0,402062699;1,053507936;0,287146064;0,410611648;0,654607498;0,402062699;6,666666667;6;5,666666667;6,5;6,75;2,25;1,333333333;6,5;6,5;97;6,283333333;28;23;16;3,361111111;1;1;2;2;2;1
Feminino;35;Superior incompleto;Sistemas de Informação;2019;1;1;Desenvolvedor;Tradicional;12;12; ;6;7;3;6;6;2;7;3;6;7;5;7;5;5;7;7;6;7;5; ;3;6;2;6;3;6;2;2;2;6;1;2;5;6;6;4;4; ;1;6;5;5;2;2;6;2;2;2;7;6;5;2;1;1; ;4;4;2;5;-0,337169969;0,283791702;0,249746074;-0,032093016;-0,139861656;-0,337169969;0,283791702;0,249746074;-0,032093016;-0,139861656;4,666666667;5,333333333;4,666666667;6;6,25;2,25;1,833333333;5,833333333;5,25;66;5,5;25;10;9;3,305555556;1;2;3;2;2;3
Feminino;28;Superior incompleto;Ciência da computação;2021;10;1;Desenvolvedor;Ágil;6;1; ;7;7;4;6;6;4;7;5;6;5;4;7;7;7;7;7;7;7;7; ;3;4;2;3;6;3;4;4;2;2;2;3;3;2;4;2;4; ;1;6;1;7;1;1;7;1;1;1;7;7;6;2;1;4; ;7;7;1;6;-0,041610773;1,354034871;1,235652757;0,243518401;-0,320035437;-0,041610773;1,354034871;1,235652757;0,243518401;-0,320035437;7;6;5,333333333;7;7;1;1,666666667;6,666666667;5;53;6,066666667;13;10;14;3,111111111;1;1;1;2;1;2
Feminino;39;Doutorado;Ciência da computação;2021;10;7;Analista;Ágil;1;1; ;6;7;6;4;7;5;5;6;4;7;4;7;6;4;7;7;6;7;5; ;6;7;6;6;4;5;4;5;5;7;4;4;6;5;7;7;4; ;4;6;1;6;6;5;6;6;1;4;7;7;5;7;1;7; ;7;7;1;5;-0,580617131;0,802333137;0,414941677;-0,286996789;0,559585218;-0,580617131;0,802333137;0,414941677;-0,286996789;0,559585218;7;6,333333333;5,333333333;6;6,25;3;5;6,166666667;5,25;92;5,833333333;30;21;12;4,722222222;1;1;2;2;2;3
Feminino;24;Superior incompleto;Sistemas Para Internet;2020;2;2;Desenvolvedor;Tradicional;3;3; ;2;6;3;1;6;4;3;6;4;3;3;6;7;3;4;7;6;6;5; ;1;6;5;6;7;7;6;4;7;6;4;1;7;3;5;6;2; ;1;4;2;6;6;2;3;6;2;5;7;4;7;5;4;3; ;6;5;2;7;-2,312766746;-0,20963262;0,162218048;-2,711506307;-0,388579413;-2,312766746;-0,20963262;0,162218048;-2,711506307;-0,388579413;5,666666667;3,666666667;3,666666667;5;6;3,25;3,833333333;5,166666667;4;83;4,466666667;31;12;15;4,083333333;1;4;2;4;5;1
Feminino;33;Superior incompleto;Ciência da computação;2021;3;1;Desenvolvedor;Ágil;132;7; ;1;3;4;2;5;3;2;1;3;2;2;6;4;1;7;5;2;7;3; ;2;2;7;7;7;7;1;7;6;6;4;6;7;2;5;6;3; ;4;2;6;1;5;7;3;1;2;6;7;4;2;7;3;7; ;1;2;2;6;-4,084380617;-0,789051621;-3,331083178;-2,993832077;0,072839672;-4,084380617;-0,789051621;-3,331083178;-2,993832077;0,072839672;3;2,666666667;3,333333333;4,5;4,25;3,5;5,666666667;3,166666667;2;85;3,35;34;18;11;4,111111111;1;4;7;6;5;6
Feminino;29;Superior completo;Sistemas de Informação;2015;4;2;Analista;Ágil;2;2; ;5;6;2;3;4;3;5;3;6;6;3;6;6;5;6;6;6;6;2; ;3;4;4;3;5;4;4;3;3;3;3;3;3;5;4;3;5; ;5;5;1;4;4;2;5;2;6;1;5;7;5;1;1;1; ;6;5;6;1;-1,498743607;0,482306663;-1,327470558;-1,08448604;-1,360108798;-1,498743607;0,482306663;-1,327470558;-1,08448604;-1,360108798;4,333333333;4,333333333;3,333333333;5,75;5;2,25;2,5;5,166666667;4,5;62;4,583333333;17;12;14;3,305555556;3;1;4;3;3;3
Feminino;40;Mestrado;Ciência da computação;2006;15;5;Gerente;Ágil;48;6; ;3;4;4;3;5;5;6;6;5;6;4;5;6;5;4;7;6;5;3; ;6;6;7;6;5;4;2;6;2;4;1;2;6;7;2;6;7; ;1;6;1;7;1;1;6;1;1;1;7;7;7;2;1;1; ;7;7;1;6;-1,201941448;-0,99792414;-1,276659508;-0,964955747;0,132667084;-1,201941448;-0,99792414;-1,276659508;-0,964955747;0,132667084;7;3,666666667;4,333333333;5;5,25;1;1,166666667;6,666666667;5,25;79;4,7;27;15;14;2,944444444;1;1;1;2;2;1
Feminino;36;Mestrado;Ciência da computação;2011;17;14;Gerente;Ágil;10;8; ;2;2;2;4;4;2;5;5;4;6;5;7;7;6;7;6;4;5;6; ;7;6;6;3;2;6;1;4;4;7;4;3;4;5;7;5;7; ;5;6;1;6;1;4;5;1;1;3;6;5;5;4;1;5; ;7;6;1;6;-0,934122261;0,154077463;-2,123795552;-3,033070647;0,091543762;-0,934122261;0,154077463;-2,123795552;-3,033070647;0,091543762;6,666666667;2;3,333333333;6,75;5,25;2;3;5,5;5;81;4,466666667;26;19;10;3,5;2;3;2;2;3;3
