sexo;idade;formacao;curso;anoFormacao;tempoProfissional;tempoFuncao;funcao;metodologia;existenciaProjeto;mesesNoProjeto;@12.Emrelaçãoassuascaracterísticasporfavorresponda;S1;S2;S3;C2;C3;C4;C1;EM4;EM1;EM3;EM2;T3;T1;T4;T2;I2;I1;I4;I3;@13.Pararesponderasquestõesabaixoconsidereseuprojetoatua;equipe1;reque1;reque2;reque3;tec1;req4;tec2;tec3;tec4;req5;equipe2;equipe3;req6;tec5;tec6;req7;equipe4;@14.Emrelaçãoaoseudiaadiadotrabalho;ci2;et6;ci3;et4;ee6;ee2;et5;ci1;ee4;ee1;et1;et2;et3;ee3;ci4;ee5;@15.Emrelaçãoasuasatisfaçãocomotrabalho;sat1;sat2;sat3;FAC1_1;FAC2_1;FAC3_1;FAC4_1;FAC5_1;FAC1_2;FAC2_2;FAC3_2;FAC4_2;FAC5_2
Feminino;31;Especialização;Agronegócio;2017;11;2;Gerente;Ágil;6;6; ;7;7;7;6;5;4;7;7;7;6;6;7;7;5;7;7;6;7;6; ;6;4;7;6;2;4;4;5;2;5;2;6;5;7;4;4;2; ;1;7;1;7;2;1;7;1;1;1;7;7;7;2;1;2; ;7;7;1;,810430273939127;1,06468719570174;,579975870121278;1,27611565858118;-,497906033966248;,810430273939127;1,06468719570174;,579975870121278;1,27611565858118;-,497906033966248
Feminino;59;Doutorado;Ciência da computação;2019;20;15;Gerente;Híbrida;18;18; ;6;5;7;6;5;6;7;6;7;7;6;7;5;7;7;7;7;6;7; ;3;6;7;6;5;2;4;4;7;6;7;7;7;6;7;6;7; ;6;6;1;6;2;2;6;1;1;1;7;7;7;1;1;1; ;6;7;1;1,05350793630033;,287146063501364;,410611647774402;,654607497667512;,402062698964603;1,05350793630033;,287146063501364;,410611647774402;,654607497667512;,402062698964603
Feminino;35;Superior incompleto;Sistemas de Informação;2019;1;1;Desenvolvedor;Tradicional;12;12; ;6;7;3;6;6;2;7;3;6;7;5;7;5;5;7;7;6;7;5; ;3;6;2;6;3;6;2;2;2;6;1;2;5;6;6;4;4; ;1;6;5;5;2;2;6;2;2;2;7;6;5;2;1;1; ;4;4;2;-,337169968594514;,283791702329178;,249746073956802;-,0320930163865685;-,139861656454392;-,337169968594514;,283791702329178;,249746073956802;-,0320930163865685;-,139861656454392
Feminino;28;Superior incompleto;Ciência da computação;2021;10;1;Desenvolvedor;Ágil;6;1; ;7;7;4;6;6;4;7;5;6;5;4;7;7;7;7;7;7;7;7; ;3;4;2;3;6;3;4;4;2;2;2;3;3;2;4;2;4; ;1;6;1;7;1;1;7;1;1;1;7;7;6;2;1;4; ;7;7;1;-,0416107727712555;1,35403487139457;1,23565275682798;,243518400535377;-,320035437278777;-,0416107727712555;1,35403487139457;1,23565275682798;,243518400535377;-,320035437278777
Feminino;39;Doutorado;Ciência da computação;2021;10;7;Analista;Ágil;1;1; ;6;7;6;4;7;5;5;6;4;7;4;7;6;4;7;7;6;7;5; ;6;7;6;6;4;5;4;5;5;7;4;4;6;5;7;7;4; ;4;6;1;6;6;5;6;6;1;4;7;7;5;7;1;7; ;7;7;1;-,580617130734025;,802333136845667;,414941676932436;-,286996789029815;,559585218208144;-,580617130734025;,802333136845667;,414941676932436;-,286996789029815;,559585218208144
Feminino;24;Superior incompleto;Sistemas Para Internet;2020;2;2;Desenvolvedor;Tradicional;3;3; ;2;6;3;1;6;4;3;6;4;3;3;6;7;3;4;7;6;6;5; ;1;6;5;6;7;7;6;4;7;6;4;1;7;3;5;6;2; ;1;4;2;6;6;2;3;6;2;5;7;4;7;5;4;3; ;6;5;2;-2,31276674614442;-,209632619764406;,162218047654567;-2,71150630682264;-,388579413338273;-2,31276674614442;-,209632619764406;,162218047654567;-2,71150630682264;-,388579413338273
Feminino;29;Superior completo;Sistemas de Informação;2015;4;2;Analista;Ágil;2;2; ;5;6;2;3;4;3;5;3;6;6;3;6;6;5;6;6;6;6;2; ;3;4;4;3;5;4;4;3;3;3;3;3;3;5;4;3;5; ;5;5;1;4;4;2;5;2;6;1;5;7;5;1;1;1; ;6;5;6;-1,49874360749014;,482306663314692;-1,32747055816154;-1,08448603961463;-1,36010879817876;-1,49874360749014;,482306663314692;-1,32747055816154;-1,08448603961463;-1,36010879817876
Feminino;40;Mestrado;Ciência da computação;2006;15;5;Gerente;Ágil;48;6; ;3;4;4;3;5;5;6;6;5;6;4;5;6;5;4;7;6;5;3; ;6;6;7;6;5;4;2;6;2;4;1;2;6;7;2;6;7; ;1;6;1;7;1;1;6;1;1;1;7;7;7;2;1;1; ;7;7;1;-1,20194144842838;-,997924140317947;-1,27665950797591;-,964955746768831;,132667084208009;-1,20194144842838;-,997924140317947;-1,27665950797591;-,964955746768831;,132667084208009
Feminino;36;Mestrado;Ciência da computação;2011;17;14;Gerente;Ágil;10;8; ;2;2;2;4;4;2;5;5;4;6;5;7;7;6;7;6;4;5;6; ;7;6;6;3;2;6;1;4;4;7;4;3;4;5;7;5;7; ;5;6;1;6;1;4;5;1;1;3;6;5;5;4;1;5; ;7;6;1;-,934122261024889;,154077462792215;-2,12379555219235;-3,03307064726732;,0915437622069718;-,934122261024889;,154077462792215;-2,12379555219235;-3,03307064726732;,0915437622069718
Feminino;22;Superior incompleto;Ciência da computação;2021;1;1;Desenvolvedor;Ágil;6;1; ;5;6;4;5;6;4;4;5;6;5;5;6;5;4;7;7;7;5;6; ;1;3;5;7;6;7;2;6;5;6;2;5;7;3;6;2;4; ;7;2;7;1;2;7;3;6;7;7;6;2;2;7;7;7; ;2;5;7;-,571085655386957;-,129673398680514;,498220421148099;-,993940859763768;-,382072218085678;-,571085655386957;-,129673398680514;,498220421148099;-,993940859763768;-,382072218085678
Feminino;28;Especialização;Ciência da computação;2013;11;11;Desenvolvedor;Híbrida;6;6; ;7;5;4;5;6;5;7;2;4;6;6;4;4;5;5;3;5;5;5; ;4;6;6;3;6;5;4;5;7;7;5;1;7;7;7;4;4; ;7;7;3;2;7;7;7;6;3;7;7;5;7;7;3;7; ;3;4;3;-,236614670775101;-1,45729324487401;-3,06647310812067;,124781111792965;-,339392821591627;-,236614670775101;-1,45729324487401;-3,06647310812067;,124781111792965;-,339392821591627
Feminino;25;Superior completo;Engenharia da Computação;2017;4;3;Testador;Ágil;1000;36; ;5;5;5;7;5;4;7;6;6;6;5;6;4;6;6;7;6;7;6; ;3;6;7;6;6;4;5;4;5;6;4;7;5;6;7;6;5; ;2;6;1;5;3;3;6;1;1;2;7;6;5;2;2;5; ;7;6;1;,22169136818887;-,673825799746209;,134016986291679;,109929642770392;,207075506584367;,22169136818887;-,673825799746209;,134016986291679;,109929642770392;,207075506584367
Feminino;26;Mestrado;Ciência da computação;2019;1;1;Testador;Tradicional;72;18; ;4;6;3;3;4;4;5;4;4;4;3;5;5;6;7;5;6;6;5; ;6;5;2;2;6;4;4;5;4;3;5;3;6;6;5;5;2; ;6;5;4;3;3;2;5;5;5;2;6;4;3;6;5;7; ;4;4;5;-1,6087281198969;,440178799816217;-,961737061785406;-1,22603242310808;-1,67518419180116;-1,6087281198969;,440178799816217;-,961737061785406;-1,22603242310808;-1,67518419180116
Feminino;31;Superior completo;Sistemas de Informação;2014;5;2;Desenvolvedor;Ágil;48;24; ;6;7;5;7;6;3;6;7;6;6;5;7;6;6;7;6;7;7;4; ;5;6;7;7;6;6;1;5;4;7;3;4;7;1;7;7;7; ;6;6;2;4;4;5;6;7;6;4;5;5;6;6;5;7; ;4;4;6;,183944207509012;1,13112973709254;,185707442431525;,464375493370213;-,301771005664282;,183944207509012;1,13112973709254;,185707442431525;,464375493370213;-,301771005664282
Feminino;29;Especialização;Ciência da computação;2011;7;5;Gerente;Ágil;20;20; ;7;7;5;6;5;5;7;7;7;7;7;6;5;7;5;7;7;6;7; ;6;6;6;2;4;2;3;6;2;7;2;3;3;7;7;2;5; ;5;7;3;5;3;5;7;5;2;2;6;6;7;6;2;6; ;6;6;2;1,68675888418583;-,343499116036357;,847941824397222;,515334084423924;-,460932169858042;1,68675888418583;-,343499116036357;,847941824397222;,515334084423924;-,460932169858042
Feminino;24;Superior completo;Engenharia Eletrônica;2018;3;3;Desenvolvedor;Ágil;32;22; ;6;6;1;4;4;4;5;7;6;4;5;4;5;4;4;6;6;4;5; ;6;4;6;6;7;5;7;3;3;4;2;5;5;6;5;6;1; ;4;5;1;6;4;6;5;1;1;2;6;4;6;7;1;7; ;6;6;1;-,254842284760282;-1,47745390578914;-,698777620926884;-1,19052901761963;-1,87425832616947;-,254842284760282;-1,47745390578914;-,698777620926884;-1,19052901761963;-1,87425832616947
