Timestamp;idade;curso;cursoTempo;profissional;S2;EM4;C1;I4;S1;EM1;C2;T3;C4;T2;EM2;S3;T1;C3;T4;I2;I3;EM3;I1;sat1;sa2;sat3;sat4;sat5
12/5/2019;20;Ciência da Computação;4;2;7;7;4;7;7;5;7;7;2;7;7;2;7;7;7;7;4;5;7;7;7;7;7;7
12/5/2019;38;Sistema de Informações;4;10;7;6;7;6;5;5;4;6;6;6;5;7;5;6;5;7;7;6;7;5;5;5;5;5
12/5/2019;29;Ciência da Computação;5;8;6;6;6;6;5;6;5;5;5;5;5;6;5;4;5;6;5;6;6;6;6;6;6;6
12/5/2019;31;Engenharia de Computação;6;7;7;5;7;5;4;5;6;5;5;6;4;2;4;6;6;7;7;5;7;4;4;2;3;4
12/5/2019;26;Ciência da Computação;4;1;7;2;4;7;3;4;5;7;7;7;7; ;6;5;4;7;7;7;7; ;5;7;2;4
12/5/2019;31;Análise e Desenvolvimento de Sistemas;3;3;7;5;5;6;7;5;6;4;3;6;5;5;6;5;6;7;7;6;7;4;5;6;5;5
12/5/2019;33;Sistema de Informações;4;1;7;3;3;5;7;7;2;6;2;6;4;3;3;3;3;7;7;4;7;6;4;7;3;6
12/5/2019;22;Licenciatura em Computação;4;1;7;5;4;6;5;6;5;6;5;5;5;3;4;5;4;7;7;5;7;7;5;6;6;5
12/5/2019;20;Sistema de Informações;3;0;7;7;5;6;6;6;2;6;4;6;5;4;7;7;6;6;5;5;5;4;4;5;5;4
12/5/2019;28;Ciência da Computação;6;6;5;7;7;7;5;6;5;7;7;5;6;4;6;5; ;7;5;5;3;5;5;5;5;4
12/5/2019;27;Engenharia de Computação;9;4;6;5;7;7;6;6;7;5;5;6;6;5;5;6;6;7;5;6;6;7;7;7;7;7
12/5/2019;22;Análise e Desenvolvimento de Sistemas;3;2;7;5;6;6;7;6;5;6;4;7;5;3;7;6;7;7;7;5;7;6;6;7;6;5
12/5/2019;31;Análise e Desenvolvimento de Sistemas;1;3;6;7;7;6;6;7;5;6;7;6;6;7;5;6;5;7;7;5;7;5;6;7;4;5
12/5/2019;23;Análise e Desenvolvimento de Sistemas;3;4;4;6;5;6;6;4;6;6;3;4;6;4;7;6;2;7;3;5;7;4;6;7;5;5
12/5/2019;18;Sistema de Informações;1;1;5;7;7;7;3;7;1;7;7;7;6;2;7;7;7;7;7;6;7;7;7;7;7;7
12/5/2019;28;Análise e Desenvolvimento de Sistemas;3;7;7;7;7;4;5;6;7;6;7;5;5;3;5;5;2;6;5;6;5;7;7;7;7;7
12/5/2019;35;Sistema de Informações;3;10;5;5;7;7;4;6;7;7;7;7;5;5;7;7;7;7;7;6;7;6;6;7;7;7
